tick,humans,zombies
1,8000,400
2,8000,400
3,8000,400
4,8000,400
5,8000,400
6,8000,400
7,8000,400
8,8000,400
9,8000,400
10,8000,400
11,7877,523
12,7805,595
13,7746,654
14,7680,720
15,7632,768
16,7578,822
17,7540,860
18,7493,907
19,7449,951
20,7407,993
21,7358,1042
22,7303,1097
23,7241,1159
24,7171,1229
25,7096,1304
26,7020,1380
27,6951,1449
28,6884,1516
29,6805,1595
30,6736,1664
31,6660,1740
32,6590,1810
33,6507,1893
34,6428,1972
35,6350,2050
36,6269,2131
37,6195,2205
38,6125,2275
39,6036,2364
40,5958,2442
41,5874,2526
42,5793,2607
43,5696,2704
44,5609,2791
45,5530,2870
46,5429,2971
47,5327,3073
48,5238,3162
49,5157,3243
50,5067,3333
